市区町村名	市区町村コード	1974年	1976年	1979年	1982年	1985年	1988年	1991年	1994年	1997年	1999年	2002年	2004年	2007年
愛知県 西尾市	232131	41,734 	59,524 	81,992 	102,356 	116,225 	135,814 	172,465 	179,098 	179,778 	171,365 	159,361 	157,433 	154,393 
愛知県 蒲郡市	232149	26,749 	39,303 	49,252 	68,036 	71,706 	77,965 	90,290 	94,866 	88,480 	86,675 	78,252 	81,015 	85,142 
愛知県 犬山市	232157	17,743 	26,006 	32,712 	40,536 	51,909 	50,401 	64,904 	62,221 	69,471 	56,694 	51,631 	49,674 	47,904 
愛知県 常滑市	232165	14,131 	19,381 	23,603 	29,999 	31,350 	35,762 	41,499 	40,270 	39,946 	36,950 	34,891 	34,011 	41,453 
愛知県 江南市	232173	25,262 	36,580 	48,246 	61,954 	65,593 	73,575 	86,767 	90,567 	97,199 	85,150 	81,135 	80,373 	87,525 
愛知県 小牧市	232190	26,721 	39,488 	58,805 	83,420 	93,679 	108,699 	129,276 	154,370 	173,835 	176,374 	174,937 	181,341 	184,624 
愛知県 稲沢市	232203	23,357 	31,606 	48,470 	65,956 	76,912 	91,243 	98,031 	108,905 	123,611 	126,543 	126,116 	127,241 	122,999 
愛知県 新城市	232211	13,704 	17,825 	23,658 	30,860 	34,809 	39,699 	47,903 	48,575 	54,583 	48,761 	43,875 	40,535 	46,057 
愛知県 東海市	232220	32,636 	46,977 	63,266 	77,148 	81,096 	96,262 	111,875 	112,162 	111,998 	106,153 	92,720 	96,425 	109,410 
愛知県 大府市	232238	12,725 	17,508 	32,313 	42,314 	44,264 	52,009 	68,267 	71,676 	69,516 	76,857 	77,339 	76,539 	82,836 
愛知県 知多市	232246	10,003 	15,357 	21,215 	31,227 	32,981 	38,018 	44,338 	49,564 	51,192 	55,249 	50,071 	48,690 	55,334 
愛知県 知立市	232254	14,310 	21,706 	27,749 	35,811 	37,803 	45,237 	53,883 	57,840 	75,153 	78,649 	72,691 	67,240 	70,001 
愛知県 尾張旭市	232262	7,807 	12,299 	16,796 	27,062 	31,445 	37,102 	51,352 	57,675 	70,227 	75,017 	81,603 	84,527 	78,781 
愛知県 高浜市	232271	8,057 	11,139 	16,429 	19,422 	21,775 	26,121 	32,174 	40,026 	37,110 	38,428 	36,009 	35,376 	38,997 
愛知県 岩倉市	232289	10,575 	12,495 	18,169 	22,901 	26,096 	27,692 	31,179 	31,660 	37,566 	31,935 	34,032 	32,935 	36,122 
愛知県 豊明市	232297	8,894 	14,618 	25,336 	35,468 	38,886 	47,162 	59,599 	60,297 	62,413 	56,557 	51,754 	48,487 	52,835 
愛知県 日進市	232301	4,642 	6,593 	11,329 	20,628 	26,338 	24,470 	38,295 	40,636 	57,478 	60,990 	64,540 	69,120 	84,016 
愛知県 田原市	232319	14,238 	18,333 	26,406 	38,926 	46,792 	55,815 	61,821 	69,091 	71,982 	68,854 	63,549 	66,742 	70,110 
愛知県 愛西市	232327	4,319 	10,645 	15,553 	21,984 	26,351 	29,720 	36,652 	40,247 	40,683 	37,057 	36,489 	37,349 	38,770 
愛知県 清須市	232335	13,211 	18,299 	24,567 	31,952 	33,275 	35,040 	44,964 	47,594 	51,058 	47,204 	51,725 	53,417 	52,541 
愛知県 北名古屋市	232343	12,521 	21,201 	31,739 	44,984 	53,631 	59,269 	71,671 	75,491 	82,096 	76,946 	71,525 	73,784 	77,229 
愛知県 弥富市	232351	9,202 	12,974 	17,670 	27,029 	29,930 	30,247 	32,360 	36,092 	40,889 	38,053 	37,403 	41,126 	47,722 
愛知県 みよし市	232360	4,686 	9,373 	10,309 	18,390 	20,994 	22,161 	24,689 	28,454 	31,987 	36,038 	54,791 	60,129 	60,453 
愛知県 あま市	232378	9,869 	20,642 	27,411 	36,909 	38,179 	46,366 	57,685 	64,802 	66,439 	61,763 	53,111 	48,396 	46,239 
愛知県 長久手市	232386	1,689 	3,105 	4,233 	6,696 	9,057 	22,261 	28,289 	39,485 	50,156 	39,474 	52,942 	53,583 	65,401 
愛知県 東郷町	233021	2,175 	4,083 	5,732 	8,478 	12,089 	15,696 	20,435 	22,062 	22,633 	22,120 	22,295 	23,354 	29,599 
愛知県 豊山町	233421	3,078 	5,738 	8,794 	12,836 	15,232 	18,751 	28,668 	35,325 	29,933 	41,713 	26,973 	30,592 	18,970 
愛知県 大口町	233617	1,939 	－	6,525 	6,314 	6,823 	14,463 	23,085 	23,524 	24,432 	29,405 	32,752 	31,648 	31,745 
愛知県 扶桑町	233625	4,533 	5,353 	8,461 	13,086 	16,532 	16,934 	22,175 	26,180 	25,856 	24,178 	23,143 	37,744 	40,782 
愛知県 大治町	234249	2,351 	3,209 	6,328 	10,412 	12,870 	17,816 	21,647 	22,352 	24,488 	19,988 	17,593 	18,303 	21,413 
愛知県 蟹江町	234257	9,521 	13,136 	22,669 	26,560 	34,060 	38,786 	45,782 	48,045 	51,113 	46,548 	47,422 	42,309 	45,705 
愛知県 飛島村	234273	1,441 	2,512 	3,714 	7,022 	7,184 	6,325 	7,890 	7,141 	6,832 	7,427 	5,489 	6,867 	10,618 
愛知県 阿久比町	234419	3,212 	4,372 	6,098 	7,627 	9,591 	12,095 	15,761 	19,087 	21,989 	26,223 	43,045 	39,005 	36,861 
愛知県 東浦町	234427	4,242 	8,072 	10,602 	13,554 	16,859 	18,486 	23,554 	19,903 	20,444 	17,187 	35,762 	47,817 	60,762 
愛知県 南知多町	234451	5,218 	6,696 	10,619 	11,879 	13,011 	16,419 	18,438 	19,986 	19,377 	17,408 	15,678 	13,716 	13,015 
愛知県 美浜町	234460	3,908 	5,120 	6,828 	10,984 	13,074 	15,876 	16,296 	18,590 	18,831 	20,167 	18,549 	18,156 	17,305 
